,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CCL5,0,5.063307338,0.977,0.094,0,0,CCL5
CD3D,0,2.675647588,0.918,0.218,0,0,CD3D
CD8A,0,4.823725487,0.73,0.036,0,0,CD8A
CD2,0,2.699918647,0.917,0.235,0,0,CD2
NKG7,0,4.101804413,0.733,0.068,0,0,NKG7
IL32,0,2.235293221,0.874,0.225,0,0,IL32
GZMA,0,4.592943255,0.707,0.062,0,0,GZMA
CD3G,0,2.822124273,0.807,0.179,0,0,CD3G
ITGA1,0,4.72585833,0.648,0.042,0,0,ITGA1
TRAC,0,2.394600815,0.821,0.216,0,0,TRAC
HOPX,0,3.287755404,0.676,0.08,0,0,HOPX
CD7,0,3.455112884,0.713,0.12,0,0,CD7
CCL4,0,3.866523227,0.636,0.051,0,0,CCL4
CD3E,0,2.620464721,0.759,0.185,0,0,CD3E
KLRD1,0,5.136440632,0.572,0.02,0,0,KLRD1
HCST,0,2.487274715,0.856,0.321,0,0,HCST
CTSW,0,4.100292651,0.576,0.049,0,0,CTSW
CD52,0,1.886353547,0.892,0.377,0,0,CD52
TRBC2,0,2.299454194,0.679,0.188,0,0,TRBC2
TRGC2,0,4.998179371,0.51,0.029,0,0,TRGC2
GIMAP7,0,2.152173908,0.682,0.212,0,0,GIMAP7
PTPRC,0,1.647926186,0.923,0.462,0,0,PTPRC
CXCR6,0,3.55428815,0.505,0.054,0,0,CXCR6
CD8B,0,4.965886953,0.444,0.017,0,0,CD8B
EVL,0,2.031864107,0.758,0.336,0,0,EVL
KLRC1,0,5.594955237,0.43,0.015,0,0,KLRC1
PRF1,0,4.445617249,0.436,0.029,0,0,PRF1
ACAP1,0,1.951922219,0.67,0.266,0,0,ACAP1
ID2,0,2.213432758,0.622,0.236,0,0,ID2
CLEC2D,0,2.234505068,0.596,0.211,0,0,CLEC2D
GZMB,0,1.380912026,0.436,0.053,0,0,GZMB
S100A4,0,1.313397728,0.942,0.562,0,0,S100A4
CORO1A,0,1.462695723,0.762,0.383,0,0,CORO1A
LCK,0,2.247719644,0.518,0.151,0,0,LCK
GZMM,0,3.108310549,0.444,0.077,0,0,GZMM
TRBC1,0,2.360767153,0.488,0.123,0,0,TRBC1
FYB1,0,1.664201431,0.649,0.287,0,0,FYB1
ALOX5AP,0,1.359406319,0.635,0.273,0,0,ALOX5AP
CD69,0,1.856656584,0.548,0.187,0,0,CD69
CD96,0,2.746817856,0.459,0.099,0,0,CD96
CST7,0,2.811935887,0.434,0.083,0,0,CST7
GZMH,0,5.381641901,0.359,0.012,0,0,GZMH
STK17A,0,1.84177949,0.623,0.288,0,0,STK17A
IKZF3,0,2.188589348,0.486,0.151,0,0,IKZF3
CKLF,0,1.82305148,0.629,0.297,0,0,CKLF
CD48,0,1.321231123,0.685,0.357,0,0,CD48
CLEC2B,0,2.215660896,0.516,0.192,0,0,CLEC2B
PTPN22,0,2.859461323,0.426,0.107,0,0,PTPN22
TRG-AS1,0,3.531210036,0.383,0.069,0,0,TRG-AS1
IKZF1,0,1.352295955,0.629,0.319,0,0,IKZF1
FYN,0,2.132278724,0.466,0.16,0,0,FYN
APOBEC3G,0,2.433233718,0.463,0.162,0,0,APOBEC3G
TBC1D10C,0,2.168143062,0.458,0.16,0,0,TBC1D10C
CD99,0,1.858392076,0.61,0.314,0,0,CD99
ZNF683,0,6.138178873,0.296,0.006,0,0,ZNF683
TRAF3IP3,0,1.942204346,0.485,0.196,0,0,TRAF3IP3
RUNX3,0,1.762704783,0.501,0.214,0,0,RUNX3
STK17B,0,1.166596914,0.684,0.402,0,0,STK17B
HLA-E,0,1.380213379,0.917,0.638,0,0,HLA-E
LINC01871,0,3.556464698,0.31,0.033,0,0,LINC01871
SYTL3,0,2.265014122,0.41,0.133,0,0,SYTL3
KIAA1551,0,1.491580099,0.6,0.326,0,0,KIAA1551
CD247,0,2.185583979,0.389,0.117,0,0,CD247
ZFP36L2,0,1.252504102,0.763,0.491,0,0,ZFP36L2
IL2RB,0,2.269383684,0.374,0.103,0,0,IL2RB
CHST12,0,2.753337225,0.38,0.11,0,0,CHST12
BTG1,0,1.296370275,0.921,0.656,0,0,BTG1
LCP1,0,0.83297961,0.689,0.428,0,0,LCP1
SKAP1,0,2.206115199,0.391,0.133,0,0,SKAP1
SH3BGRL3,0,0.944836994,0.906,0.65,0,0,SH3BGRL3
KLRC2,0,6.851682333,0.26,0.004,0,0,KLRC2
RAC2,0,1.213939733,0.571,0.315,0,0,RAC2
IL7R,0,0.822935083,0.48,0.227,0,0,IL7R
LINC02446,0,6.518773203,0.256,0.004,0,0,LINC02446
PARP8,0,2.340387163,0.389,0.139,0,0,PARP8
ARL4C,0,1.300747014,0.577,0.329,0,0,ARL4C
GPR171,0,2.138170212,0.337,0.09,0,0,GPR171
CYTIP,0,1.457468749,0.478,0.231,0,0,CYTIP
GIMAP1,0,1.938048364,0.4,0.154,0,0,GIMAP1
MATK,0,3.089801898,0.3,0.054,0,0,MATK
PLEKHF1,0,2.957108407,0.303,0.059,0,0,PLEKHF1
GNLY,0,4.239202811,0.26,0.018,0,0,GNLY
CELF2,0,1.668897742,0.525,0.284,0,0,CELF2
ARHGDIB,0,0.882493157,0.688,0.45,0,0,ARHGDIB
SCML4,0,2.931842728,0.285,0.048,0,0,SCML4
KLRB1,0,1.73276645,0.362,0.127,0,0,KLRB1
RARRES3,0,1.43790949,0.567,0.333,0,0,RARRES3
PTPN7,0,1.601279864,0.448,0.216,0,0,PTPN7
JUN,0,1.523326146,0.637,0.405,0,0,JUN
BCL11B,0,1.818932204,0.364,0.132,0,0,BCL11B
FOSB,0,1.484845391,0.544,0.314,0,0,FOSB
JAML,0,1.258973946,0.434,0.204,0,0,JAML
RORA,0,1.520511249,0.414,0.185,0,0,RORA
ITGAE,0,2.099928023,0.418,0.191,0,0,ITGAE
OXNAD1,0,2.058731542,0.342,0.117,0,0,OXNAD1
GIMAP4,0,1.587266902,0.403,0.178,0,0,GIMAP4
THEMIS,0,3.134376692,0.269,0.045,0,0,THEMIS
SPOCK2,0,1.348731069,0.385,0.167,0,0,SPOCK2
GPR174,0,2.898760013,0.271,0.056,0,0,GPR174
ITM2C,0,1.507543716,0.353,0.139,0,0,ITM2C
TNFSF14,0,2.544194829,0.289,0.075,0,0,TNFSF14
LAT,0,1.843754249,0.34,0.127,0,0,LAT
ITM2A,0,1.786131607,0.346,0.133,0,0,ITM2A
SPN,0,1.702118906,0.406,0.194,0,0,SPN
AC245297.3,0,1.847417717,0.422,0.211,0,0,AC245297.3
LSP1,0,1.381686556,0.487,0.276,0,0,LSP1
PSMB9,0,1.380382282,0.55,0.342,0,0,PSMB9
STK4,0,1.179738633,0.604,0.396,0,0,STK4
GMFG,0,0.97051579,0.561,0.354,0,0,GMFG
IL2RG,0,1.654258862,0.414,0.207,0,0,IL2RG
ITGAL,0,2.319774787,0.306,0.102,0,0,ITGAL
JUND,0,1.339538845,0.816,0.614,0,0,JUND
ABI3,0,2.133435986,0.305,0.104,0,0,ABI3
SLFN5,0,1.318625593,0.489,0.291,0,0,SLFN5
ANKRD28,0,1.955037687,0.368,0.171,0,0,ANKRD28
PDCD4,0,1.333291058,0.562,0.369,0,0,PDCD4
ARHGAP9,0,2.275897309,0.299,0.107,0,0,ARHGAP9
HLA-F,0,1.582691374,0.481,0.292,0,0,HLA-F
APBB1IP,0,1.515640502,0.411,0.222,0,0,APBB1IP
RAB27A,0,2.024798606,0.315,0.127,0,0,RAB27A
TSC22D3,0,1.511363818,0.511,0.324,0,0,TSC22D3
HLA-A,0,1.229905343,0.983,0.796,0,0,HLA-A
1-Sep,0,1.874672226,0.322,0.136,0,0,1-Sep
BTN3A2,0,1.949599197,0.336,0.152,0,0,BTN3A2
CD226,0,2.25241766,0.271,0.089,0,0,CD226
SRSF7,0,1.250887174,0.74,0.561,0,0,SRSF7
HLA-C,0,1.413264685,0.987,0.808,0,0,HLA-C
ARHGEF1,0,1.710095496,0.368,0.192,0,0,ARHGEF1
AC044849.1,0,2.44041945,0.253,0.081,0,0,AC044849.1
7-Sep,0,1.225651922,0.718,0.546,0,0,7-Sep
PFN1,0,0.782986623,0.806,0.636,0,0,PFN1
FKBP11,0,1.979066147,0.302,0.132,0,0,FKBP11
PRKCH,0,2.120411639,0.264,0.095,0,0,PRKCH
GRAP2,0,1.981113969,0.251,0.082,0,0,GRAP2
RNF213,0,1.071815153,0.581,0.415,0,0,RNF213
MYL12A,0,0.990658126,0.921,0.757,0,0,MYL12A
MBNL1,0,1.001177215,0.618,0.454,0,0,MBNL1
CFL1,0,0.623998036,0.85,0.697,0,0,CFL1
HLA-B,0,1.39362449,0.991,0.848,0,0,HLA-B
TMSB4X,0,0.824087113,0.999,0.874,0,0,TMSB4X
MALAT1,0,0.871523554,0.999,0.923,0,0,MALAT1
RPS3,0,0.410437238,0.983,0.924,0,0,RPS3
RPS27,0,0.400582123,0.994,0.972,0,0,RPS27
B2M,0,0.979932723,1,0.988,0,0,B2M
MT-CO1,0,0.52269679,0.999,0.987,0,0,MT-CO1
MT-CO2,0,0.365655231,0.999,0.988,0,0,MT-CO2
MT-ATP6,0,0.366145911,0.999,0.993,0,0,MT-ATP6
RPS19,2.30E-305,0.434316327,0.988,0.961,7.71E-301,0,RPS19
PAXX,2.26E-303,1.626867874,0.402,0.231,7.60E-299,0,PAXX
DDX3X,8.09E-287,1.212666005,0.609,0.505,2.71E-282,0,DDX3X
AAK1,2.82E-286,1.602159422,0.368,0.196,9.46E-282,0,AAK1
PCSK7,3.84E-286,1.477321798,0.446,0.284,1.29E-281,0,PCSK7
PPP2R5C,2.45E-280,1.364384118,0.472,0.314,8.22E-276,0,PPP2R5C
KLF6,6.52E-278,1.06718924,0.575,0.412,2.19E-273,0,KLF6
RASAL3,6.51E-275,1.824164921,0.288,0.129,2.18E-270,0,RASAL3
AKNA,1.24E-273,1.526773418,0.395,0.232,4.16E-269,0,AKNA
N4BP2L2,2.33E-270,0.841345367,0.687,0.595,7.82E-266,0,N4BP2L2
PTPN4,3.12E-270,2.048350621,0.255,0.106,1.05E-265,0,PTPN4
6-Sep,5.17E-269,1.210334484,0.45,0.277,1.74E-264,0,6-Sep
PIP4K2A,7.12E-268,1.65561137,0.355,0.196,2.39E-263,0,PIP4K2A
CD53,7.57E-264,0.920873947,0.538,0.353,2.54E-259,0,CD53
ICAM3,3.75E-263,1.394179584,0.374,0.206,1.26E-258,0,ICAM3
EMP3,7.99E-260,0.871891121,0.549,0.368,2.68E-255,0,EMP3
LBH,1.04E-255,1.678823031,0.299,0.143,3.47E-251,0,LBH
MSN,2.17E-254,1.045945329,0.509,0.345,7.29E-250,0,MSN
DDX24,3.69E-249,1.128909223,0.53,0.407,1.24E-244,0,DDX24
ETS1,1.71E-246,1.135924484,0.385,0.208,5.74E-242,0,ETS1
FNBP1,2.51E-246,1.193274088,0.459,0.306,8.42E-242,0,FNBP1
EMB,2.39E-241,1.26699328,0.461,0.318,8.02E-237,0,EMB
PDE7A,1.66E-238,1.655448132,0.316,0.165,5.56E-234,0,PDE7A
BIN2,6.58E-230,1.630122789,0.297,0.15,2.21E-225,0,BIN2
MYO1F,7.23E-229,1.382860404,0.354,0.199,2.42E-224,0,MYO1F
SMURF2,9.09E-227,1.805496294,0.29,0.148,3.05E-222,0,SMURF2
ANKRD44,5.54E-224,1.359662683,0.383,0.235,1.86E-219,0,ANKRD44
IFITM2,5.10E-223,1.141640814,0.425,0.27,1.71E-218,0,IFITM2
MGAT4A,1.18E-217,1.459218394,0.352,0.208,3.96E-213,0,MGAT4A
CALM1,4.00E-215,0.349017545,0.878,0.827,1.34E-210,0,CALM1
CYBA,1.23E-214,0.343408513,0.895,0.776,4.12E-210,0,CYBA
FUS,4.59E-214,0.846079195,0.613,0.532,1.54E-209,0,FUS
IRF1,3.31E-212,1.112623121,0.45,0.31,1.11E-207,0,IRF1
KMT2A,5.26E-212,1.2676491,0.456,0.332,1.77E-207,0,KMT2A
CLIC1,1.57E-208,0.640560046,0.718,0.643,5.28E-204,0,CLIC1
SUN2,3.88E-205,1.53888907,0.327,0.189,1.30E-200,0,SUN2
SYNRG,3.52E-200,1.470393748,0.354,0.221,1.18E-195,0,SYNRG
WIPF1,3.10E-199,1.130985065,0.419,0.279,1.04E-194,0,WIPF1
VAMP2,9.19E-199,1.290563853,0.433,0.317,3.08E-194,0,VAMP2
